x,Curve1
0.00263,-1.06439
0.00744,0.14006
0.00926,-0.80114
0.00993,0.56282
0.0232,1.03746
0.03073,-0.50195
0.03259,1.18108
0.04337,1.25291
0.05145,1.29681
0.05227,-0.34233
0.06228,1.25697
0.07514,-0.13884
0.07849,1.27697
0.1008,-0.09886
0.10278,1.34886
0.12507,0.00493
0.1271,1.34896
0.16151,0.10079
0.16224,1.33713
0.17575,1.34516
0.17636,0.13276
0.20008,1.34526
0.20202,0.17274
0.22576,1.3334
0.25144,1.32552
0.25198,0.23675
0.27577,1.31366
0.30008,1.33768
0.30197,0.26487
0.32576,1.33778
0.34927,0.25309
0.35278,1.34188
0.37711,1.33799
0.40143,1.35005
0.402,0.20943
0.42574,1.3661
0.44933,0.14182
0.45142,1.37019
0.47573,1.38624
0.50014,1.22282
0.50207,0.06227
0.52601,0.83208
0.54941,-0.01332
0.55309,0.72052
0.5761,0.64484
0.60181,0.58512
0.60215,-0.09686
0.62751,0.53736
0.6603,-0.18437
0.66133,0.4697
0.67621,0.44184
0.70223,-0.252
0.70325,0.40207
0.72625,0.35031
0.75195,0.31053
0.75361,-0.31561
0.80228,-0.35529
0.80334,0.21901
0.85094,-0.37504
0.85339,0.12748
0.90208,0.0519
0.90228,-0.35888
0.92794,-0.32688
0.95346,-0.0157
0.95495,-0.29087
1.00078,-0.06336
