x,Curve2
0.00711,1.08344
0.00812,0.03276
0.01117,-0.39679
0.01929,-0.79543
0.02741,-1.05192
0.03655,-1.20643
0.05178,-1.29295
0.07817,-1.35785
0.14213,-1.35476
0.23655,-1.33622
0.27005,-1.28677
0.29137,-1.14462
0.35736,-0.86959
0.39797,-0.72435
0.44467,-0.60074
0.49645,-0.58529
0.56142,-0.5822
0.64772,-0.59147
0.70863,-0.58838
0.75838,-0.56366
0.80406,-0.53276
0.83858,-0.49258
0.87513,-0.43078
0.9269,-0.3288
0.98579,-0.19283
