x,Curve2
0.000977,1.14586
0.003588,0.11727
0.005499,-0.10944
0.008361,-0.45795
0.016197,-0.83695
0.02212,-0.99601
0.031035,-1.1551
0.041972,-1.23637
0.051927,-1.27704
0.068861,-1.31776
0.095775,-1.33148
0.13466,-1.32835
0.18451,-1.32869
0.233367,-1.31887
0.292189,-1.32265
0.348021,-1.32303
0.395874,-1.33351
0.444721,-1.35075
0.483601,-1.36117
0.502541,-1.36806
0.51352,-1.33769
0.519524,-1.27682
0.527546,-1.15169
0.53757,-1.00627
0.547588,-0.87777
0.561577,-0.79327
0.58255,-0.6953
0.604517,-0.60747
0.636454,-0.51972
0.666391,-0.44549
0.703303,-0.38483
0.737225,-0.32078
0.780121,-0.2534
0.816037,-0.18936
0.851952,-0.1287
0.887861,-0.08496
0.927758,-0.03786
0.964661,-0.00089
0.996578,0.03273
