x,Curve1
0.250817,380.9
0.299604,427.1
0.350108,2282.8
0.3747,4821.8
0.400814,6709.9
0.426853,7645.7
0.450496,8121.2
0.476427,7676
0.501357,4516.6
0.549937,1927.9
0.57434,2070
0.600292,1894.7
0.650652,1924.9
0.700208,1733
0.799336,1555.6
0.899346,2600.3
