x/c,Cp
0.025,0.212
0.05,-0.036
0.1,-0.295
0.2,-0.466
0.3,-0.478
0.4,-0.390
0.5,-0.320
0.6,-0.242
0.7,-0.164
0.8,-0.074
0.85,-0.023
0.9,0.034
0.925,0.065
0.95,0.101
0.975,0.151
