x/c,Cp
0,0.847
0.025,-1.017
0.05,-1.153
0.075,-1.291
0.1,-1.341
0.15,-1.409
0.2,-1.462
0.25,-1.489
0.3,-1.522
0.35,-0.955
0.4,-0.823
0.45,-0.711
0.5,-0.55
0.55,-0.388
0.6,-0.27
0.65,-0.206
0.7,-0.157
0.75,-0.107
0.8,-0.058
0.85,0.014
0.9,0.041
0.93,0.072
0.95,0.101
0.98,0.136
1,0.181
