x/c,Cp
0.025,0.068
0.05,-0.229
0.1,-0.493
0.2,-0.707
0.3,-0.858
0.4,-0.876
0.5,-0.957
0.6,-0.367
0.7,-0.222
0.8,-0.063
0.85,-0.063
0.9,0.038
0.93,0.01
0.95,0.096
0.98,0.075
