x/c,Cp
0.025,-0.133
0.05,-0.364
0.1,-0.586
0.2,-0.655
0.3,-0.544
0.4,-0.399
0.5,-0.307
0.6,-0.18
0.7,-0.118
0.8,-0.031
0.85,0.023
0.9,0.088
0.925,0.119
0.95,0.156
0.975,0.203
