x/c,Cp
0.025,0.486
0.05,0.244
0.1,-0.021
0.2,-0.198
0.3,-0.251
0.4,-0.224
0.5,-0.2
0.6,-0.165
0.7,-0.118
0.8,-0.054
0.85,-0.016
0.9,0.026
0.93,0.051
0.95,0.079
0.98,0.125
